微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,content,发布时间,点赞数,转发数,评论数
Irh2ydKTW,毽客逆风飞扬,男,北京,18,219665,毽客逆风飞扬:#毽客视线##武汉肺炎#1月23日至24日，浙江、广东、湖南、湖北、安徽、天津、北京、上海、重庆、四川、江西、云南、贵州、山东、福建、广西已先后启动重大突发公共卫生事件一级响应。意味着什么？根据突发公共卫生事件的性质、危害程度和涉及范围，突发公共卫生事件划分为特别重大(I级)、重大(II级)、较大(III级)和一般(IV级)四级。各级人民政府组织协调有关部门参与突发公共卫生事件的处理;划定控制区域;疫情控制措施，比如限制集市、集会等人群聚集活动;流动人口管理;实施交通卫生检疫等。 原图 ,2020/1/26 15:21,45,9,39
Irh2xiysg,陇南西和司法,男,甘肃,996,15015,陇南西和司法:【#微信散布疫情谣言或被永久封号#！转发承诺：不信谣、不传谣！】微信安全中心昨日发布“关于新型冠状病毒肺炎相关谣言专项治理的公告”：根据国家相关法律法规和相关协议规范，对违规的信息内容进行删除处理，并视其违规程度对违规帐号进行阶梯式处罚：包括但不限于对帐号或帐号功能进行限期或永久封禁处理。支持请转！ 原图 ,2020/1/26 15:21,3,0,1
Irh2veN4k,燕赵晚报,男,河北,1088,3716267,燕赵晚报:【就在刚才 千里驰援！邢台6单位13名医护人员赴汉】1月26日下午1时30分，由邢台市6家三级综合医院抽调的13名业务骨干组成的医疗援助队正式启程赴省里统一出发到武汉。邢台市委书记钱三雄，市委副书记、市长董晓宇等看望援助队队员，并为他们送行。钱三雄在看望队员时说，要发扬艰苦奋斗的优良传统和不辞辛苦的工作作风，把邢台人民的关心关爱带给武汉人民，出色地完成援助任务，保护好自己，同时及时把援助过程中好的经验作法回传给邢台，为邢台疫情防护工作作出更大贡献。 据邢台市卫健委相关人员介绍，他们于今日凌晨4点接到通知，迅速组织力量，各医院积极响应，医护人员发扬“舍小家为大家”精神，迅速组成包括重症、呼吸、检验、护理的援助队伍，奔赴武汉开展医疗援助。（燕赵晚报融媒体记者 丁宝军） [组图共2张] 原图 ,2020/1/26 15:21,31,4,5
Irh2p5sA4,茂名市广播电视台FM1061,男,广东,72,444,茂名市广播电视台FM1061:#1061应急广播# 公共场所不戴口罩将被处罚！广东发布严格防疫通告通    告粤防疫指办通〔2020〕1号为进一步落实国家对新型冠状病毒感染的肺炎疫情防控工作的部署，全面落实省突发公共卫生事件一级响应，加强公共场所管理，切断病毒的传播途径，切实防止新型冠状病毒感染的肺炎疫情传播扩散，依照《中华人民共和国传染病防治法》《中华人民共和国突发事件应对法》《突发公共卫生事件应急条例》《公共场所卫生管理条例》等规定，决定在我省公共场所实施佩戴口罩的控制措施，现将有关事项通告如下：一、实施范围（一）宾馆（酒店）、旅店、招待所、饭馆、咖啡馆、酒吧、茶座；（二）公共浴室、理发店、美容店；（三）影剧院、卡拉OK厅、录像厅（室）、游艺厅（室）、舞厅、音乐厅；（四）体育场（馆）、游泳场（馆）、公园，景区、宗教场所、商业街、步行街；（五）商场（店）、书店；（六）候诊室、候车（机、船）室、高速公路服务区、公共交通工具（含网约车、出租车）；（七）展览馆、博物馆、美术馆、图书馆；（八）其他人群聚集的公共场所。二、实施要求各公共场所经营者、管理者应当要求进入其场所的人员佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员依据《中华人民共和国传染病防治法》和《公共场所卫生管理条例》的规定向相关主管部门报告，由各相关主管部门按照各自职责依法处理。阻碍突发事件应急处理工作人员执行职务，触犯《中华人民共和国治安管理处罚法》，构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。本通告自发布之日起施行，终止日期另行通告。省新型冠状病毒感染的肺炎疫情防控指挥部办公室2020年1月26日 http://t.cn/R2WxEr2 显示地图 ,2020/1/26 15:21,5,3,2
Irh2eFF6w,每日新闻报,男,安徽,473,1165587,每日新闻报:#武汉加油#【科大讯飞计划捐赠价值1000万的援助支持】昨日，科大讯飞捐赠的紧缺医疗物资已奔向武汉，物资具体为：N95口罩12857个、防护服3000套、护目镜13334个。除紧缺医疗物资捐助外，科大讯飞还将面向启动重大突发公共卫生事件一级响应的省市地区免费提供电子病历、智能语音外呼等技术支持，利用智医助理赋能基层医疗进行最基础的防范。讯飞将持续关注一线抗击疫情需求，尽最大努力给予力所能及地帮助，为抗击疫情尽一份力。 原图 ,2020/1/26 15:20,8,0,2
Irh296JiQ,贵港交警三大队,男,广西,180,1261,贵港交警三大队:#交通安全#3.要依法科学有序防控。要做好疫情监测、排查、预警等工作，切实做到早发现、早报告、早隔离、早治疗。要加大对重点场所特别是农贸市场、集贸市场、超市的禽类、野生动物等交易的监管和卫生学处置力度，加强源头防控。对车站、机场、码头等重点场所，以及汽车、火车、飞机等密闭交通工具，采取通风、消毒、体温监测等必要措施，一旦发现疑似病例就地留观。要及早研判疫情传播扩散风险，加强溯源和病原学检测分析，加快治疗药品和疫苗研发，提高疫情防控的科学性和有效性。4.要及时准确、公开透明发布疫情，回应境内外关切。要加强舆论引导，加强有关政策措施宣传解读工作，增强群众自我防病意识和社会信心。要及时向世界卫生组织、有关国家和地区组织及港澳台地区通报疫情信息，加强合作、全力应对，共同维护地区和全球卫生安全。 ,2020/1/26 15:20,0,0,0
Irh0OF7BN,石家庄新闻广播,男,河北,451,430696,石家庄新闻广播:【国家卫健委：#坚决防止疫情在农村扩散蔓延#】26日下午，国新办举行新闻发布会，介绍新型冠状病毒感染的肺炎疫情联防联控工作有关情况。国家卫生健康委员会主任、党组书记马晓伟强调，要严格管理所有15日内从武汉流入各省份人员。发挥社区街道作用，确保追踪到人、登记在册、社区管理、上门观察，发现异常，立即转运至有条件的医疗机构等场所隔离排查。这里面，着重要加强农村地区疫情监测和防控，坚决防止疫情在农村扩散蔓延。@中国新闻网 ,2020/1/26 15:17,0,0,0
Irh0H0sqT,忻州新闻,男,山西,425,208200,忻州新闻:【辟谣 | 忻州市人民政府公告http://t.cn/A6Pcvya0】1月25日网传的《忻州市新型冠状病毒感染的肺炎防控指挥部令第一号》属虚构机构名称违法发布，已移交公安机关依法调查，请广大市民不信谣、不传谣，按照市委、市政府、市新型冠状病毒感染的肺炎疫情防控工作领导小组的部署，认真做好防控工作。如遇重大情况或造谣传谣者，自觉向当地防控办或市防控办报告。        市防控办电话：3301599        忻州市人民政府        2020年1月26日 原图 ,2020/1/26 15:16,4,1,6
Irh0G5uv1,浪圈每日播报,男,海外,218,2584465,浪圈每日播报:【#香港迪士尼及海洋公园今起暂停开放#】因应香港特区政府已将新型冠状病毒感染疫情的应变级别提升至最高级，香港迪士尼乐园度假区、香港海洋公园26日宣布，由即日起暂停开放，直至另行通告，以防止疫情在社区爆发。#新型冠状病毒肺炎最新情况#迪士尼乐园负责人表示，乐园一直将宾客及演艺人员的健康和安全放在首位，为配合香港目前采取的防疫措施，乐园于26日起暂停开放，度假区内酒店则维持运作。乐园会与特区政府及卫生部门保持紧密联系，视乎情况公布重开日期；与此同时，乐园将安排为已预订门票或酒店的宾客提供退款服务。海洋公园发言人说，鉴于特区政府已提升疫情应变级别，公园考虑到访客和员工的安全，须由即日起暂停开放，直至另行通告。期间，公园会进一步加强清洁及消毒工作，依实际情况调整人手安排；公园也将密切监察事件发展，并全力配合特区政府的防疫工作，预防疫情在社区爆发。据香港特区政府卫生署卫生防护中心统计，香港目前共发现5例新型冠状病毒感染确诊个案，呈报至卫生防护中心的疑似个案逾300例。（人民日报） 原图 ,2020/1/26 15:16,4,0,0
Irh0Fbh2l,每日新闻报,男,安徽,473,1165587,每日新闻报:【#微信散布疫情谣言或被永久封号#！转发承诺：不信谣、不传谣！】微信安全中心昨日发布“关于新型冠状病毒肺炎相关谣言专项治理的公告”：根据国家相关法律法规和相关协议规范，对违规的信息内容进行删除处理，并视其违规程度对违规帐号进行阶梯式处罚：包括但不限于对帐号或帐号功能进行限期或永久封禁处理。支持请转！ 原图 ,2020/1/26 15:16,3,2,3
Irh0EC1LV,昆山发布,男,江苏,290,684082,昆山发布:【关于加强大型商超和餐饮行业新型冠状病毒感染的肺炎疫情防控工作的通告】为进一步落实市委市政府对新型冠状病毒感染的肺炎疫情防控工作的部署，切断病毒的传播途径，防止疫情在我市传播扩散，依照《中华人民共和国传染病防治法》《中华人民共和国突发事件应对法》《突发公共卫生事件应急条例》《公共场所卫生管理条例》等法律法规的规定，经研究，加强大型商超和餐饮行业新型冠状病毒感染的肺炎疫情防控，现将有关事项通告如下：         一、各商业综合体、大型超市应注意以下事项：        1. 确保经营场所通风、做好消毒和卫生管理。配备专职消毒人员，储备消毒药品、器材。有详细的消毒记录。每1-2小时消毒一次。        2. 禁止举办各类促销活动，避免人员聚集。停止一切可能引起人员聚集的活动。        3. 不安排人员到湖北出差，发现有湖北返昆的工作人员，要主动向社区报告，配合做好人员管理。        4. 做好员工的防护保障，要求戴口罩，上班前测体温，超37.5度者安排就医。        5. 保障公共卫生间配备充足的洗手、烘干设施和洗手液、纸巾等物品。         6. 引导工作人员不信谣、不传谣，不在各类媒体传播不实信息。        7. 对消费者进行发热症状提醒，尽量防控有发热、感冒、咳嗽症状、呼吸道感染的消费者进入，有条件的门店可配备红外线测温仪。        二、各餐饮企业应注意以下事项：        1. 每天落实晨检制度，发现有发热、感冒、咳嗽症状、呼吸道感染的人员要立即到医疗机构就诊。        2. 加强采购管理，做好索证索票工作。不得采购、烹制、销售来历不明的野生动物、活体动物和其他食品。        3. 从业人员避免与养殖或者野生动物、生病动物或变质肉接触，避免与生鲜市场内的流浪动物、垃圾废水接触；尽可能避免与任何表现出呼吸道疾病症状（如咳嗽、打喷嚏）的人密切接触。        4. 提倡明档操作、熟食加工的餐饮从业者戴口罩上岗，每日及时更换口罩；保持个人清洁卫生，特别在制做食物前、餐前便后、上班之前、回家后、接触垃圾、抚摸动物后，要用流动水和皂液洗手。        5. 保持餐饮经营场所空气流通，空调房间保持新风系统正常运作，定期对空调过滤装置进行清洁消毒。        6. 确保餐具、用具、饮品等器皿消毒后使用，定期对餐饮经营场所、电梯空间进行消毒。        7. 外卖外送餐食的保温箱、物流车及物流周转用具要每天清洁消毒。        8. 对消费者进行发热症状提醒，尽量防控有发热、感冒、咳嗽症状、呼吸道感染的消费者进入，有条件的门店可配备红外线测温仪。        特此通告。昆山市商务局2020年1月26日 ,2020/1/26 15:16,7,1,3
Irh0Cx7Y7,河南乡村频道,男,河南,285,98034,河南乡村频道:【夏邑县公共交通客运车辆、汽车客运站暂时停止运营】据河南省夏邑县道路运输管理局，接夏邑县新型冠状病毒感染的肺炎疫情防控指挥部通知，按照《河南省政府关于加强新型冠状病毒感染的肺炎防控工作的通告》启动的一级应急预案，为有效防控疫情较重区域返乡人员在我县公共交通工具及人员密集场所与更多人员接触，保障全县人民身体健康安全，从2020年1月26日起，我县所有公共交通客运车辆、汽车客运站暂时停止运营，恢复运行时间另行通知。 原图 ,2020/1/26 15:16,0,0,2
Irh0BByXT,请看好您的食物,女,山东,494,150,请看好您的食物:#疫情解除前全国禁止野生动物交易#不要管国家说什么，也不要把责任推到别人身上，国家下命令不允许偷盗，每年还是有很多人在犯法！我们应该做到自觉，身边与朋友圈看到有吃野味的，直接拉黑！不要点赞！不赞赏！不提倡装逼！抖音快手吃什么鳄鱼穿山甲的！不要点赞！！就是你的点赞与赞赏助长了他（她）吃野味的想法！！让我们一起使吃野味不再成为潮流！！就不会再有人觉得花大价钱买个野味很牛逼，值得炫耀一番了！！实际上很多野味很难吃，只是一些人觉得野味难弄价格较高，可以装逼，会有很多朋友赞赏为了博取眼球而已！！不是谁都愿意被人人都唾弃的！！不吃野味，不提倡！不赞许！不默认！！ ,2020/1/26 15:16,1,0,0
Irh0zfyCD,烈太阳战神,男,北京,42,69,烈太阳战神:紧急扩散！急寻21日高铁G258（6车）乘客！             滨州市滨城区新型冠状病毒感染的肺炎疫情处置工作领导小组1月26日发布紧急通知，请大家扩散！        2020年1月25日，滨城区确诊一例新型冠状病毒感染肺炎患者。该患者于1月21日7：11乘高铁G258（6车6A）自武汉站出发，于12:15到达济南西站，后乘帮邦行返回滨州（同乘8人均列入跟踪和管理）。        当日同乘高铁G258的乘客朋友，鉴于您与确诊的新型冠状病毒感染的肺炎患者乘坐了同车次，有感染的风险，为了您和他人的身体健康，请您主动与滨州市滨城区疾病预防控制中心（联系电话：0543-2110961）或您所在地的疾控部门联系，配合做好医学观察，若有发热、咳嗽等症状，请及时到就近的定点医院发热门诊就诊，以便进一步诊治。        为确保您和他人的身体健康，在就医途中请您戴上口罩，尽量不要乘坐公共交通工具前往医院。若需居家进行医学观察的，请不要外出，佩戴口罩，与家人共同做好个人防护，以保障您和家人的健康!              滨州市滨城区新型冠状病毒感染的肺炎                              疫情处置工作领导小组办公室                                           电话：0543-3336159  http://t.cn/8kfgYtU 显示地图 原图 ,2020/1/26 15:16,1,1,0
Irh0tEZfC,商丘日报,女,河南,222,32032,商丘日报:【张建慧慰问环卫、疾控等春节假期值班值守人员】1月25日，农历大年初一，市长张建慧慰问了环卫、电力、公安、疾控、卫健等行业值班值守人员，向他们表达节日的问候和祝福，叮嘱他们坚守岗位，为广大市民营造安定祥和喜庆的新春氛围。副市长李建仓、王金启参加慰问。在神火大道与运河交叉口东北角，张建慧向基层环卫工人送去春节的祝福。他说，去年我市城市建设取得显著成绩，城市环境发生了很大的变化，这与全市广大环卫工人的辛勤付出密不可分，宜居的商丘不断提升着群众的获得感、幸福感。在商丘供电公司，张建慧慰问了电力调度值班中心工作人员，了解值班情况，询问了春节期间电力供应保障、应对“新型冠状病毒感染的肺炎”医院保电情况。张建慧说，去年我市电力事业发展迅速，取得了丰硕成果，希望大家坚守好工作岗位，为全市人民欢度春节、抗击疫情提供坚强电力保障。同时，要立足建设商丘坚强智能电网，谋划推进项目，为经济实现高质量发展奠定坚实基础。在商丘火车站南广场，张建慧慰问了值班值守的公安民警、武警官兵和交警，与大家亲切握手，向大家表示问候。他说，过去一年，全市广大公安干警、武警官兵和交警在“平安商丘”建设中，努力工作、辛勤付出，为商丘营造了安全稳定的发展环境。希望大家坚守好岗位，保重好身体，持续维护好社会安定环境。最后，张建慧来到市疾控中心，向奋战在疫情防控一线的工作人员表示慰问。他说，当前既是春节，又是防控疫情的关键时期，大家要做好值班值守，及时汇集、分析、研判疫情在我市的发展趋势，全力做好疫情防控各项工作，确保我市广大市民生命健康。同时，大家也要做好个人防护工作，注重劳逸结合，以饱满的精神状态和健康的身体状况，打好疫情防控阻击战。http://t.cn/A6PcvZUK ,2020/1/26 15:16,0,0,1
Irh0tEhA9,凯迪网络,男,海南,1205,2112772,凯迪网络:#海南疫情##海口大小事# #海南# 【海口港对进出岛旅客进行体温检测】  1月25日，海南省政府决定启动突发公共卫生事件Ⅰ级应急响应。当日上午，海南省卫健委发布消息称，1月24日0时-25日9时，海南新增报告新型冠状病毒感染的肺炎确诊病例9例，无重症和死亡病例。截至1月25日9时，海南5个市县累计报告新型冠状病毒感染的肺炎确诊病例17例，其中海口市3例、三亚市5例、儋州市3例、万宁市5例、临高县1例，无重症和死亡病例。截至1月25日9时，追踪到密切接触者374人，已解除医学观察0人，尚有374人正在接受居家医学观察。http://t.cn/A6PcvZAG 原图 ,2020/1/26 15:16,7,0,0
Irh0sbEHC,中国之声,男,北京,1328,27543688,中国之声:【今天下午3点，国家援鄂抗疫医疗队飞赴武汉】国家卫健委全力支援湖北开展新型冠状病毒感染的肺炎医疗救治工作，今天下午3点，国家援鄂抗疫医疗队飞赴武汉。该医疗队调派北京医院、中国医学科学院北京协和医院、中日友好医院、北京大学第一医院、北京大学人民医院、北京大学第三医院6家医院重症医学科、呼吸科、医院感染科专家共121人。下午两点钟，国家援鄂抗疫医疗队队员们在首都国际机场整装待发，国家卫生健康委医政医管局副局长周长强代表国家卫健委表达了对医疗对的嘱托，他说，疫情就是命令，防控就是战场，希望医疗队到前方之后，一要弘扬新时期的医疗卫生健康的职业精神，科学有效的救治病人。二是要发挥专家队的作用，积极研究和探索更加有效的救治方法。三要在就治好病人的同时，也注意好个人的防护。最后医疗队员能够不负重托，不辱使命，积极履行好职责，凯旋归来。医疗队队长北京协和医院副院长韩丁代表全体医护人员表态时说：“一方有难、八方支援，这就是中国力量。我谨代表全体医疗队员敬重表态，我们一定牢记使命，不辱重托，义无反顾，全身心的投入到抗击疫情和重症病人的救治中，展现作为国家队的责任和担当。用科学、专业、规范、高效的技能，与全国的卫生战线的全体同仁一道，众志成城，攻坚克难，坚决打赢这场战役，圆满完成党和国家交给的光荣任务。”（总台央广记者孙鲁晋） [组图共7张] 原图 ,2020/1/26 15:16,255,64,54
Irh0qnB0F,河南新闻广播穆迪,女,河南,791,1083,河南新闻广播穆迪:【建业集团向省慈善总会捐赠1000万元 支援抗击新型肺炎】   今天（1月26日），记者从省慈善总会了解到，为支援河南全省打赢这场新型肺炎疫情阻击战，今天，建业集团向河南省慈善总会捐赠1000万元人民币，设立抗击新型冠状病毒感染肺炎疫情专项基金，主要用于河南省疫区前线防治工作，包括采购口罩、手术衣、护目镜等医疗物资，帮助与激励战斗在第一线的医护人员。  省慈善总会相关负责人表示，重大疫情当前，建业集团以实际行动彰显企业的责任与担当，大爱之举值得点赞。@河南新闻广播 ,2020/1/26 15:16,8,3,1
Irh0pxkCP,爱国199601,男,山东,104,2,爱国199601:另据记者了解，根据东营市交通运输局《关于坚决遏制通过客车传播疫情的紧急通知》要求，市公交公司自2020年1月26日（年初二）17时起停运所属全部运营线路，具体恢复时间另行通知，咨询电话：0546—8309111。根据新型冠状病毒感染的肺炎疫情防控工作需要，为确保广大乘客和市民朋友的身体健康，我市部分公交线路暂停营运。集好运业旗下所运营的城区公交和城乡公交线路暂停营运。自2020年1月26日（正月初二）起，垦利城区公交，垦利城乡客运公交全线停运；河口-东西城、河口城区公交、河口城乡公交、河口至孤岛仙河公交等河口所有线路；东营港港内公交、东营港至东营K5、K6、K7等公交全线停运；利津县、广饶县所有的城区、城乡公交线路将暂时停运。恢复时间另行通知，请大家及时关注爱东营客户端。 ,2020/1/26 15:16,1,0,0
Irh0o4BqY,每日天下事,女,上海,1265,13077,"每日天下事:【福州市新增新型冠状病毒感染的肺炎疫情情况】截至1月26日10时，我市新确诊4例输入性新型冠状病毒感染的肺炎病例。其中仓山区1例（女，47岁）、闽清县1例（女，40岁）、永泰县1例（男，20岁）、南平来榕就诊1例（男，60岁，籍贯闽侯）。　　新增输入性新型冠状病毒感染的肺炎疑似病例12例,其中:仓山区4例、晋安区1例、长乐区1例、福清市5例、连江县1例。排除疑似病例1例。　　截至1月26日10时，我市累计报告输入性新型冠状病毒感染的肺炎确诊病例10例，均为武汉返乡或来榕人员，其中仓山区1例、长乐区1例、连江县1例、南平来榕就诊1例（籍贯闽侯）、罗源县1例、闽清县2例、永泰县2例、宁德市古田县来榕就诊1例。　　现有输入性新型冠状病毒感染的肺炎疑似病例16例，其中仓山区4例、晋安区1例、长乐区1例、福清市6例、连江县1例、永泰县1例、闽清县1例、湖北省武汉市来榕1例。　　目前患者病情总体稳定，正在接受隔离治疗，密切接触者正在接受医学观察。#新型肺炎实时动态# ",2020/1/26 15:16,0,0,0
Irh0b3jT1,Aiden儒生,男,北京,276,193,Aiden儒生:昔人已乘黄鹤去，此地空余黄鹤楼。黄鹤去前未清查，致使原代一代在扩散。转眼病毒已千里蔓。四海为之寒颤，五洲人心乍现。正月本是新年，奈何四野雪漫。静悄悄，零涓涓，不知何时路断，往来拜年不见。儿时喧闹还返，几番山水远。家家户户窝里侃，防止疫情鼠年窜。   http://t.cn/R0QKawX 显示地图 [组图共2张] 原图 ,2020/1/26 15:15,0,0,0
Irh0aqlIl,秦州融媒,女,其他,710,25144,秦州融媒:【众志成城 防控疫情】为积极响应中央、省、市、区委的防疫工作部署，引导广大环卫一线职工增强自我防护意识。秦州区环卫治理中心为防止干部职工感染新型冠状病毒，为全体干部职工特别是一线环卫工作者分发口罩，要求全体环卫一线作业人员戴口罩作业。在保护职工自身的安全同时，也是为了引导广大职工在特殊时期戴口罩的自我防护意识。同时，秦州区环卫治理中心继续落实高标准、严要求的环卫作业质量，对城市重点公共区域、城市公厕、垃圾点全面进行消毒，加强管理。确保以迅速的行动、有效的举措应对当前疫情。 http://t.cn/RXm7MrV http://t.cn/RXm7MrV 显示地图 [组图共3张] 原图 ,2020/1/26 15:15,0,0,0
Irh09fnFl,中国矿业大学徐海学院,男,江苏,84,2353,中国矿业大学徐海学院:【紧急扩散！徐州疾控部门急寻病人接触者！】广大市民朋友：1月25日经市疾控中心检测并通过江苏省疾控中心复核，一名自广州出发，经汉口中转来我市探亲的重庆籍人员，新型冠状病毒核酸检测阳性，目前已在定点医院隔离救治。该患者曾于：1月18日下午15:30-17:00，带外孙女在市中心家乐福超市（金地商都楼下）游玩；1月19日下午17:15-18:50，20日、21日下午16:50-18:30，在泉山区和平社区卫生服务中心输液。市疾控中心提醒，在同一时间段、同一地点购物、游玩和共同输液的人员，有可能与患者存在接触，为了您和他人的健康，请立即与市、区疾病预防控制部门联系，配合做好医学观察。徐州市疾控中心：0516-85956786泉山区疾控中心：0516-68959922我们坚信，在市委市政府的坚强领导下，全市人民万众一心、众志成城，落实群防群控，一定能够打赢这场突发的疫情防控阻击战！徐州市疾病预防控制中心2020年1月26日 原图 ,2020/1/26 15:15,4,0,0
Irh09iH3R,用户7188346023,男,其他,163,2,用户7188346023:云南旅游团的导游想钱想疯了，昨天带我们去两个室内大型购物点，超多旅行团陆续进入，起码有几百上千人在同一个屋檐里，要是有疫情，得传染成啥样了。今天送我们去昆明的返程的路上，还强行把大家拉到购物点，这节骨眼还要安排购物点，想钱想疯了@昆明12345市长热线 @昆明发布 @人民日报 #全国确诊新型肺炎病例# http://t.cn/RI9RdU5 显示地图 原图 ,2020/1/26 15:15,0,1,3
Irh05sLAG,保山发布,女,云南,296,29634,保山发布:#保山微新闻##全国确诊新型肺炎病例# 【云南省卫健委公布最新肺炎发热门诊和定点医疗救治机构名单】根据《云南省突发公共卫生事件应急预案》，2020年1月24日，省新型冠状病毒感染的肺炎疫情防控工作领导小组决定，启动云南省重大突发公共卫生事件一级响应。为加强全省新型冠状病毒感染的肺炎疫情防控工作，落实国家关于新型冠状病毒感染的肺炎“乙类传染病，采取甲类管理”的要求，有效遏制新型冠状病毒感染的肺炎疫情蔓延，切实保障人民群众的身体健康和生命安全。经研究，现将调整后的云南省新型冠状病毒感染的肺炎发热门诊和定点医疗救治医院名单予以公布。各医疗机构要进一步规范设置发热门诊，严格落实预检分诊制度，认真做好病例排查工作，及时识别可疑病例。❗️凡有下列情况的发热病人应及时到就近的发热门诊点进行排查：1.发病前两周内有武汉市旅行史或居住史；2.发病前14天内曾经接触过来自武汉的发热，伴有呼吸道症状的患者；3.有聚集性发病或接触过已确诊感染新型冠状病毒肺炎的患者。 http://t.cn/R2WxB3N 显示地图 [组图共5张] 原图 ,2020/1/26 15:15,1,1,0
Irh0595nW,把婚庆开倒闭的老李,男,浙江,121,8576,把婚庆开倒闭的老李:很多城市，看到武汉的车牌，甚至湖北的车牌，人们的用词开始变成“举报”，“报案”，“抓住他”......其实.....我觉得过了。我一度有种人人都是红卫兵的幻觉。一瞬间湖北人和武汉人就变成二等人，三等人了。只要是和这两个地方相关的人，都自带原罪，必须接受审判......这.......不对吧？控制疫情很重要，大家的健康也很重要，但是这不代表要搞压迫和歧视。他们也是受害者，也是同宗同族的中国人啊。很多武汉和湖北人（包括在湖北工作的外地人）是在政府封城之前合法合理离开的，现在社会和新闻的舆论压力已经很大了，很多人也在返乡之后主动上报来自疫区，主动配合隔离。那些返乡后造成群聚的患者，在各种聚会前也是无意识，非故意传播的。在潜伏期内谁也不知道自己患病，政府对疫情重视前，他们也不知道回家探个亲，坐个车会影响那么多人。现在全社会舆论对这些人的责骂和追杀之势让人后怕。全村隔离后，全村骂一个家庭。哪怕这个人是自己的亲属。全小区隔离后，全社区批斗一个家庭。哪怕这个人家中有无辜的老人和孩子。疫情总会过去，疫情过去后希望人心不被隔离。 ,2020/1/26 15:15,9,1,2
Irh04xFli,河北省地震局,女,河北,540,1140678,河北省地震局:#冀震关注# 【专访桂希恩：#正月十五前武汉疫情或现拐点#】①目前尚无批准的特异性治疗手段，但推测对其他RNA病毒有效的药物可能对本病有效。②#新型冠状病毒死亡率比SARS低#。③新型肺炎患者中大部分是轻症，而且是可治愈的。④#发病率转弯以周计算#，预计正月十五前武汉市的疫情可能出现回落。详戳↓↓  http://t.cn/A6Pt3fwj ,2020/1/26 15:15,1,1,0
Irh00noMF,飞翔北极熊001,男,广东,35,1,飞翔北极熊001:人员染病初期症状较轻，易作普通肺炎被忽视，人员流动性强，交叉感染概率高。同时新型肺炎尚无有效治疗方案，需要个人抵扣力，然后用药辅助治疗。初期武汉政府按部就班，未重视疫情，未妥善控制住疫情蔓延，迎来农历新年，人力流动高潮，造成全国蔓延，马上就将迎来春节后返工潮，广东省即将迎接类似武汉的考验，若控制不当，广东大概率成为第二个湖北。 http://t.cn/A6vexAuH ,2020/1/26 15:15,1,0,0
IrgZZfF1c,宁波教育,男,浙江,348,50582,宁波教育:【人民日报专访桂希恩：#正月十五前武汉疫情或现拐点#】①目前尚无批准的特异性治疗手段，但推测对其他RNA病毒有效的药物可能对本病有效。②新型冠状病毒死亡率比SARS低。③新型肺炎患者中大部分是轻症，而且是可治愈的。④发病率转弯以周计算，预计正月十五前武汉市的疫情可能出现回落。http://t.cn/A6Pt3fwj ,2020/1/26 15:15,0,0,0
IrgZYC03E,新墨家矩子波罗,男,上海,76,1560,新墨家矩子波罗:2020年有一群人，他们是守护人，他们是医务工作者，他们身处疫情的风暴中心，毫不退缩！还有一群人，他们是逆行者，他们在新年之际，放弃和家人团聚，他们也是医务工作者，勇往直前！他们虽然来自不同地方，都义无反顾的投身和疫情抗争的前线，但是他们都是中国人，加油中国！在远方的我们，我们能做的就是安心地家里蹲着，好好的为中国人祈福，不给前线的你们添乱 ,2020/1/26 15:15,1,0,0
IrgZYAIgv,心中充满光世界充满爱,女,河南,162,1,心中充满光世界充满爱:希望，大家保护好自己，不添乱，辛苦的建筑师医生研究人员监管人员加油，已经发生的事情现在也无法逆转，希望全球人民都保护好自己吧，不添乱，能尽一份力时尽一份力，只是对湖北省省长的做法很心寒，很无语。这次传播的速度很快，所以，都重视点，保护好自己，给医生和研究人员多争取点时间，让事情在可控的状态。#最新疫情地图# #致敬疫情前线医护人员# http://t.cn/A6PquhrV ,2020/1/26 15:15,0,0,0
IrgZXqZdN,广东民声热线,男,广东,879,185198,广东民声热线:#新型冠状病毒感染肺炎# 【广铁集团抢运卫生防疫及生活物资】记者从中国铁路广州局集团有限公司（以下简称广铁集团）了解到，根据国铁集团统一部署，近日广铁集团将组织运力，紧急向湖北铁路地区抢运一批卫生防疫及生活物资，共同做好新型冠状病毒感染肺炎疫情防控工作。据了解，近日广铁集团抢运驰援湖北铁路地区的物资主要包括口罩20万个、洗手液2万瓶、板蓝根冲剂2万包、连花清瘟胶囊1.6万盒和冲剂4000盒，以及90吨藕等卫生防疫和生活急需物资，将通过动车组运输、普速列车加挂行李车等方式，尽快将各类物资抢运到位。铁路部门表示，春节假期期间，铁路工作人员和卫生防疫人员将坚守岗位，采取坚决有力措施，配合地方政府，做好新型冠状病毒感染肺炎疫情的防控工作，全力防止疫情通过铁路交通工具传播，维护广大旅客和铁路职工的健康安全。（记者温健）#广东医疗队在武汉##广播新闻中心记者在现场# [组图共3张] 原图 ,2020/1/26 15:14,4,1,0
